Sr.No,Time,Crank Angle (deg),"Piston_Effort
FP1 (N)","Piston_Effort
FP2 (N)","Piston_Effort
FP3 (N)",Connecting_Rod_Force FQ1 (N),Connecting_Rod_Force FQ2 (N),Connecting_Rod_Force FQ3 (N),Shear Force Pin_1,Shear Force Pin_2,Shear Force Pin_3,Slider_Force_FN1,Slider_Force_FN2,Slider_Force_FN3,Torque Nmm,Power Nmm/sec
1,0.00E+00,0,-22224.49,-22200.07,-22144.55,22445.29,23185.89,22383.95,22224.49,22200.07,22144.55,2770,-6580,3650,16028.69,201422.459
2,1.39E-03,1,-22224.49,-22199.14,-22145.49,22433.3,23180.55,22401.23,22224.49,22199.14,22145.49,2660,-6570,3750,16002.9,201098.3723
3,2.78E-03,2,-22224.49,-22198.18,-22146.44,22421.7,23174.56,22418.76,22224.49,22198.18,22146.44,2560,-6550,3840,15969.57,200679.5352
4,4.17E-03,3,-22224.49,-22197.21,-22147.41,22410.5,23167.93,22436.53,22224.49,22197.21,22147.41,2460,-6540,3930,15928.73,200166.3246
5,5.56E-03,4,-22224.48,-22196.22,-22148.41,22399.7,23160.66,22454.53,22224.48,22196.22,22148.41,2350,-6520,4030,15880.44,199559.4946
6,6.94E-03,5,-22224.47,-22195.22,-22149.41,22389.33,23152.77,22472.73,22224.47,22195.22,22149.41,2250,-6500,4120,15824.76,198859.799
7,8.33E-03,6,-22224.47,-22194.2,-22150.44,22379.38,23144.27,22491.11,22224.47,22194.2,22150.44,2140,-6480,4210,15761.8,198068.6203
8,9.72E-03,7,-22224.46,-22193.17,-22151.48,22369.88,23135.15,22509.66,22224.46,22193.17,22151.48,2030,-6450,4290,15691.69,197187.5921
9,1.11E-02,8,-22224.45,-22192.13,-22152.53,22360.83,23125.45,22528.34,22224.45,22192.13,22152.53,1930,-6430,4380,15614.6,196218.8506
10,1.25E-02,9,-22224.44,-22191.07,-22153.6,22352.25,23115.16,22547.15,22224.44,22191.07,22153.6,1820,-6400,4470,15530.72,195164.7834
11,1.39E-02,10,-22224.43,-22189.99,-22154.68,22344.13,23104.29,22566.05,22224.43,22189.99,22154.68,1710,-6370,4550,15440.25,194027.9039
12,1.53E-02,11,-22224.42,-22188.91,-22155.77,22336.5,23092.88,22585.04,22224.42,22188.91,22155.77,1600,-6330,4630,15343.45,192811.4792
13,1.67E-02,12,-22224.41,-22187.81,-22156.87,22329.36,23080.91,22604.08,22224.41,22187.81,22156.87,1500,-6300,4720,15240.59,191518.9023
14,1.81E-02,13,-22224.4,-22186.71,-22157.99,22322.72,23068.42,22623.15,22224.4,22186.71,22157.99,1390,-6260,4800,15131.96,190153.8175
15,1.94E-02,14,-22224.39,-22185.59,-22159.11,22316.58,23055.42,22642.23,22224.39,22185.59,22159.11,1280,-6220,4880,15017.88,188720.2459
16,2.08E-02,15,-22224.38,-22184.47,-22160.24,22310.95,23041.92,22661.3,22224.38,22184.47,22160.24,1170,-6180,4950,14898.71,187222.7115
17,2.22E-02,16,-22224.37,-22183.33,-22161.38,22305.84,23027.94,22680.34,22224.37,22183.33,22161.38,1060,-6140,5030,14774.81,185665.7382
18,2.36E-02,17,-22224.36,-22182.19,-22162.53,22301.25,23013.5,22699.32,22224.36,22182.19,22162.53,949,-6090,5110,14646.57,184054.2268
19,2.50E-02,18,-22224.35,-22181.04,-22163.69,22297.19,22998.61,22718.22,22224.35,22181.04,22163.69,839,-6050,5180,14514.41,182393.4553
20,2.64E-02,19,-22224.34,-22179.88,-22164.85,22293.66,22983.3,22737.03,22224.34,22179.88,22164.85,729,-6000,5250,14378.75,180688.7015
21,2.78E-02,20,-22224.34,-22178.72,-22166.02,22290.67,22967.58,22755.7,22224.34,22178.72,22166.02,618,-5950,5320,14240.03,178945.4945
22,2.92E-02,21,-22224.33,-22177.55,-22167.19,22288.22,22951.48,22774.23,22224.33,22177.55,22167.19,508,-5900,5390,14098.72,177169.7407
23,3.06E-02,22,-22224.33,-22176.38,-22168.36,22286.3,22935.01,22792.6,22224.33,22176.38,22168.36,397,-5840,5460,13955.29,175367.3462
24,3.19E-02,23,-22224.33,-22175.21,-22169.54,22284.94,22918.19,22810.77,22224.33,22175.21,22169.54,286,-5790,5530,13810.22,173544.3428
25,3.33E-02,24,-22224.32,-22174.03,-22170.71,22284.12,22901.05,22828.72,22224.32,22174.03,22170.71,175,-5730,5590,13663.99,171706.7624
26,3.47E-02,25,-22224.32,-22172.86,-22171.89,22283.84,22883.6,22846.45,22224.32,22172.86,22171.89,64.4,-5670,5650,13517.11,169861.0139
27,3.61E-02,26,-22224.32,-22171.68,-22173.07,22284.11,22865.87,22863.91,22224.32,22171.68,22173.07,-46.5,-5610,5710,13370.07,168013.2548
28,3.75E-02,27,-22224.32,-22170.5,-22174.25,22284.93,22847.88,22881.09,22224.32,22170.5,22174.25,-157,-5540,5770,13223.36,166169.6425
29,3.89E-02,28,-22224.33,-22169.32,-22175.42,22286.3,22829.65,22897.98,22224.33,22169.32,22175.42,-268,-5480,5830,13077.49,164336.586
30,4.03E-02,29,-22224.33,-22168.15,-22176.6,22288.21,22811.21,22914.54,22224.33,22168.15,22176.6,-379,-5410,5890,12932.95,162520.2428
31,4.17E-02,30,-22224.33,-22166.97,-22177.77,22290.66,22792.57,22930.76,22224.33,22166.97,22177.77,-490,-5350,5940,12790.22,160726.6448
32,4.31E-02,31,-22224.34,-22165.8,-22178.93,22293.66,22773.75,22946.62,22224.34,22165.8,22178.93,-600,-5280,5990,12649.78,158961.8237
33,4.44E-02,32,-22224.35,-22164.64,-22180.09,22297.19,22754.79,22962.09,22224.35,22164.64,22180.09,-711,-5200,6040,12512.1,157231.6858
34,4.58E-02,33,-22224.35,-22163.48,-22181.25,22301.26,22735.7,22977.16,22224.35,22163.48,22181.25,-821,-5130,6090,12377.63,155541.8859
35,4.72E-02,34,-22224.36,-22162.32,-22182.4,22305.85,22716.51,22991.81,22224.36,22162.32,22182.4,-931,-5060,6140,12246.82,153898.079
36,4.86E-02,35,-22224.37,-22161.17,-22183.54,22310.98,22697.24,23006.02,22224.37,22161.17,22183.54,-1040,-4980,6180,12120.07,152305.2915
37,5.00E-02,36,-22224.38,-22160.03,-22184.67,22316.62,22677.91,23019.77,22224.38,22160.03,22184.67,-1150,-4910,6230,11997.8,150768.8014
38,5.14E-02,37,-22224.39,-22158.9,-22185.79,22322.78,22658.54,23033.05,22224.39,22158.9,22185.79,-1260,-4830,6270,11880.39,149293.3838
39,5.28E-02,38,-22224.4,-22157.78,-22186.91,22329.45,22639.16,23045.84,22224.4,22157.78,22186.91,-1370,-4750,6300,11768.19,147883.437
40,5.42E-02,39,-22224.41,-22156.67,-22188.01,22336.61,22619.79,23058.11,22224.41,22156.67,22188.01,-1480,-4670,6340,11661.55,146543.3592
41,5.56E-02,40,-22224.42,-22155.57,-22189.11,22344.28,22600.44,23069.87,22224.42,22155.57,22189.11,-1590,-4580,6380,11560.78,145277.0461
42,5.69E-02,41,-22224.43,-22154.48,-22190.19,22352.42,22581.16,23081.08,22224.43,22154.48,22190.19,-1690,-4500,6410,11466.16,144088.0161
43,5.83E-02,42,-22224.44,-22153.4,-22191.26,22361.05,22561.94,23091.75,22224.44,22153.4,22191.26,-1800,-4420,6440,11377.95,142979.5365
44,5.97E-02,43,-22224.45,-22152.33,-22192.31,22370.15,22542.83,23101.84,22224.45,22152.33,22192.31,-1910,-4330,6470,11296.39,141954.6233
45,6.11E-02,44,-22224.46,-22151.28,-22193.36,22379.7,22523.83,23111.36,22224.46,22151.28,22193.36,-2020,-4240,6490,11221.67,141015.6641
46,6.25E-02,45,-22224.47,-22150.25,-22194.39,22389.7,22504.97,23120.29,22224.47,22150.25,22194.39,-2120,-4160,6520,11153.98,140165.0465
47,6.39E-02,46,-22224.48,-22149.22,-22195.4,22400.14,22486.27,23128.62,22224.48,22149.22,22195.4,-2230,-4070,6540,11093.47,139404.6554
48,6.53E-02,47,-22224.48,-22148.22,-22196.4,22411.01,22467.75,23136.34,22224.48,22148.22,22196.4,-2330,-3980,6560,11040.25,138735.8732
49,6.67E-02,48,-22224.49,-22147.23,-22197.39,22422.3,22449.43,23143.45,22224.49,22147.23,22197.39,-2440,-3880,6580,10994.41,138159.8307
50,6.81E-02,49,-22224.49,-22146.26,-22198.35,22433.98,22431.34,23149.92,22224.49,22146.26,22198.35,-2540,-3790,6590,10956.02,137677.4078
51,6.94E-02,50,-22224.49,-22145.31,-22199.31,22446.06,22413.48,23155.76,22224.49,22145.31,22199.31,-2640,-3700,6610,10925.12,137289.1069
52,7.08E-02,51,-22224.49,-22144.38,-22200.24,22458.51,22395.89,23160.96,22224.49,22144.38,22200.24,-2750,-3600,6620,10901.71,136994.9282
53,7.22E-02,52,-22224.49,-22143.46,-22201.16,22471.33,22378.57,23165.51,22224.49,22143.46,22201.16,-2850,-3510,6630,10885.78,136794.7459
54,7.36E-02,53,-22224.49,-22142.57,-22202.06,22484.49,22361.55,23169.41,22224.49,22142.57,22202.06,-2950,-3410,6630,10877.28,136687.9318
55,7.50E-02,54,-22224.48,-22141.69,-22202.94,22498,22344.84,23172.66,22224.48,22141.69,22202.94,-3050,-3310,6640,10876.16,136673.8574
56,7.64E-02,55,-22224.47,-22140.84,-22203.8,22511.81,22328.47,23175.25,22224.47,22140.84,22203.8,-3150,-3220,6640,10882.32,136751.2663
57,7.78E-02,56,-22224.45,-22140.01,-22204.65,22525.94,22312.44,23177.18,22224.45,22140.01,22204.65,-3250,-3120,6640,10895.65,136918.776
58,7.92E-02,57,-22224.44,-22139.2,-22205.47,22540.35,22296.79,23178.45,22224.44,22139.2,22205.47,-3350,-3020,6640,10916.03,137174.8786
59,8.06E-02,58,-22224.42,-22138.42,-22206.28,22555.03,22281.51,23179.07,22224.42,22138.42,22206.28,-3440,-2920,6630,10943.3,137517.5635
60,8.19E-02,59,-22224.39,-22137.66,-22207.06,22569.96,22266.63,23179.03,22224.39,22137.66,22207.06,-3540,-2820,6630,10977.31,137944.9458
61,8.33E-02,60,-22224.36,-22136.92,-22207.83,22585.13,22252.17,23178.33,22224.36,22136.92,22207.83,-3640,-2720,6620,11017.86,138454.5121
62,8.47E-02,61,-22224.32,-22136.2,-22208.58,22600.52,22238.13,23176.98,22224.32,22136.2,22208.58,-3730,-2610,6610,11064.76,139043.8749
63,8.61E-02,62,-22224.28,-22135.52,-22209.31,22616.11,22224.53,23174.99,22224.28,22135.52,22209.31,-3820,-2510,6590,11117.8,139710.3952
64,8.75E-02,63,-22224.24,-22134.85,-22210.01,22631.89,22211.39,23172.35,22224.24,22134.85,22210.01,-3920,-2410,6580,11176.76,140451.3084
65,8.89E-02,64,-22224.18,-22134.22,-22210.7,22647.82,22198.72,23169.08,22224.18,22134.22,22210.7,-4010,-2300,6560,11241.41,141263.7243
66,9.03E-02,65,-22224.12,-22133.6,-22211.37,22663.9,22186.52,23165.18,22224.12,22133.6,22211.37,-4100,-2200,6540,11311.51,142144.6269
67,9.17E-02,66,-22224.06,-22133.02,-22212.02,22680.1,22174.82,23160.66,22224.06,22133.02,22212.02,-4190,-2090,6520,11386.8,143090.7489
68,9.31E-02,67,-22223.98,-22132.46,-22212.65,22696.41,22163.63,23155.52,22223.98,22132.46,22212.65,-4280,-1990,6500,11467.05,144099.2002
